,date,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6,metric_7,metric_8,metric_9,metric_10,metric_11
0,2022-07-15,0.792757,339,0.624309,543,0.046041,1.3970403279656303,1.5487943628791396,68.497778,4.846872551106695,1.18851,15.572271
1,2022-07-18,0.709746,292,0.487479,599,0.15025,1.5531475174274878,2.0039007040558316,60.699166000000005,4.777660371808074,0.227603,16.057554
2,2022-07-19,0.747628,343,0.525268,653,0.159265,1.561619401990422,1.8771438339257567,68.398611,4.956240997350077,0.154286,14.86057
3,2022-07-20,0.700772,324,0.446281,726,0.258953,1.7531773436072415,2.1805024459308915,76.19,4.27877674235464,0.0,13.705247
4,2022-07-21,0.737194,300,0.472441,635,0.266142,1.831895619531334,2.1316838047949433,63.476665000000004,4.7261462145183595,0.86445,13.275194
5,2022-07-22,0.736842,311,0.629555,494,0.038462,1.4632953925170282,1.6451015128884,67.724722,4.6364162262637265,0.680244,10.068038
6,2022-07-25,0.728333,378,0.484615,780,0.202564,1.8218206977006233,2.1238170137890573,65.62611,5.668475550356406,0.293165,13.975443
7,2022-07-26,0.737615,364,0.525253,693,0.18759,1.6213661730079276,2.0134509021484455,72.68861,5.035176762906871,0.154426,11.683673
8,2022-07-27,0.744141,333,0.521944,638,0.177116,1.6493993096972337,1.9688332542305984,64.099722,4.992221339119069,0.168724,13.690852
9,2022-07-28,0.670436,350,0.508721,688,0.077035,1.6944030035683348,1.8618729368578426,72.097498,5.048718888968935,0.018315,14.510336
10,2022-07-29,0.762376,345,0.634191,544,0.045956,1.5412240189035764,1.6793516588433302,78.79777899999999,4.327533140242442,0.16171,9.623907
11,2022-08-01,0.706767,326,0.529221,616,0.103896,1.4054450522146096,1.8273370348046556,72.717223,4.414359992817658,0.350806,12.664179
12,2022-08-02,0.776991,386,0.599379,644,0.080745,1.424069503288934,1.6658399780275879,79.24722299999999,4.946545571697825,0.688633,11.632546
13,2022-08-03,0.737303,363,0.561051,647,0.089645,1.4911308412958484,1.7851735149949097,79.229167,4.430186676075996,0.514731,14.668456
14,2022-08-04,0.770073,372,0.604878,615,0.079675,1.328379309439531,1.7471005004824607,84.110556,4.494085141941042,1.048986,14.066396
15,2022-08-05,0.769392,327,0.6,545,0.089908,1.5191646072671248,1.692140330945264,75.314167,4.461312039738819,0.16381,13.227692
16,2022-08-08,0.756888,405,0.58952,687,0.056769,1.886015200566531,2.0583669938545706,76.757501,5.580180660685418,0.969231,14.869249
17,2022-08-09,0.677563,396,0.529412,748,0.073529,1.8498908640250387,2.106037796887599,76.90694500000001,5.16208256614536,1.09029,15.279661
18,2022-08-10,0.740516,428,0.579161,739,0.083897,1.7379192761920532,1.9474921706389943,64.613888,6.5465802026957425,1.752976,15.418391
19,2022-08-11,0.688312,373,0.537464,694,0.089337,1.6727963720352204,1.8418787832146912,63.940279000000004,5.786775466386732,0.550489,12.984242
20,2022-08-12,0.78937,361,0.619211,583,0.092624,1.6806713991485573,1.8131489794241273,65.061944,5.6407782712425565,0.449477,13.310296
21,2022-08-15,0.754386,371,0.607201,611,0.047463,1.3771158136119142,1.6454997602178516,60.298611,6.086375687824716,0.656301,16.609032
