,date,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6,metric_7,metric_8,metric_9,metric_10,metric_11
0,2022-07-15,0.857843,174,0.763158,228,0.0,0.31339728368528,0.4233639308162952,104.0525,1.739506499123039,131.767647,141.509044
1,2022-07-18,0.859848,225,0.745033,302,0.0,0.31338514109683924,0.4169900633466196,132.79999899999999,1.7319277238849977,121.352018,141.83499
2,2022-07-19,0.832924,334,0.737307,453,0.006623,0.4820579450167679,0.49764443524875657,144.27527800000001,2.3427437097019492,122.488449,140.981268
3,2022-07-20,0.895939,349,0.815421,428,0.0,0.5006067601664677,0.530277721890909,143.474445,2.460368464920704,120.025,146.710145
4,2022-07-21,0.860892,321,0.767943,418,0.0,0.4955064332330631,0.5340758950579596,141.529443,2.296341970341818,128.191348,145.977712
5,2022-07-22,0.92735,214,0.810606,264,0.0,0.31720017966342146,0.4133929455788175,125.145,1.7579607655120062,118.531616,140.896247
6,2022-07-25,0.875912,233,0.768977,303,0.0,0.3370523310988129,0.42193638541577166,126.040834,1.8724090638752835,129.393548,154.996154
7,2022-07-26,0.846154,339,0.71822,472,0.016949,0.4938527860344764,0.5317433407560344,143.346667,2.3928006641410087,126.313856,142.86217
8,2022-07-27,0.816867,335,0.721983,464,0.00431,0.47367801157936434,0.5275710297530264,159.956946,2.1380753293451855,132.202322,150.918338
9,2022-07-28,0.860158,319,0.761337,419,0.002387,0.4434928559179878,0.4998236126577514,146.790556,2.1867891828136408,131.947282,146.07478
10,2022-07-29,0.881579,200,0.738007,271,0.0,0.2909556984232499,0.4205106066864923,126.312222,1.6387962837040424,128.082474,141.258065
11,2022-08-01,0.891156,261,0.790909,330,0.0,0.38369538177210216,0.4846001530401568,122.812778,2.1577559299244906,130.86558,141.881041
12,2022-08-02,0.834842,361,0.752083,480,0.002083,0.5674212752327722,0.5757442627078408,125.325278,2.936358936303337,139.358491,151.54235
13,2022-08-03,0.863402,329,0.781473,421,0.0,0.5193355156100444,0.5477970297023556,132.893055,2.53587367676964,127.647255,149.776296
14,2022-08-04,0.874674,325,0.768322,423,0.009456,0.4921873969321298,0.5310154358444303,139.778056,2.3537314040195265,128.183673,149.727273
15,2022-08-05,0.885375,220,0.797101,276,0.0,0.34855533883210227,0.45404560164876107,117.69055499999999,2.005258620795866,130.451163,147.274262
16,2022-08-08,0.850299,279,0.760218,367,0.0,0.3698949762286351,0.45426233512844627,154.515001,1.8638966969944877,125.645102,156.067633
17,2022-08-09,0.830898,388,0.739048,525,0.001905,0.5535671391732075,0.5742168483572164,156.735278,2.5201728994285513,131.091429,149.744129
18,2022-08-10,0.853828,360,0.761099,473,0.0,0.5236378979532972,0.5464805802016339,153.13,2.422778031737739,128.575486,146.131752
19,2022-08-11,0.873832,364,0.781116,466,0.006438,0.47640605654978385,0.5218616221818266,171.800832,2.136194544156806,121.344877,137.77154
20,2022-08-12,0.891791,230,0.782313,294,0.0,0.29349578636142887,0.42780288388642973,139.436112,1.742733618390048,109.855895,135.899598
21,2022-08-15,0.854167,240,0.727273,330,0.0,0.3314790551407458,0.4753165526539954,127.41027700000001,1.9778624294176836,118.228033,142.789474
22,2022-08-16,0.800805,385,0.714286,539,0.012987,0.5686941283205644,0.6046603032707679,153.916666,2.5338386682570166,121.645588,152.482673
23,2022-08-17,0.809422,368,0.71875,512,0.003906,0.558573111332613,0.5899654317762661,158.003611,2.3670345103695127,123.668196,146.305019
24,2022-08-18,0.85,350,0.7431,471,0.004246,0.5521181562259684,0.589958093528729,139.109443,2.5663247030613157,112.251592,145.351695
25,2022-08-19,0.850806,207,0.736655,281,0.003559,0.30536488501215625,0.4416604229650843,131.561667,1.6342146227137726,111.255422,132.572939
26,2022-08-22,0.868657,286,0.750656,381,0.0,0.4149100000384346,0.5170336241224655,131.235276,2.270730927559447,123.534196,150.708882
27,2022-08-23,0.801136,413,0.668285,618,0.02589,0.6516975036607192,0.646553566895167,158.316111,2.671869573653183,126.694864,139.693774
28,2022-08-24,0.82505,405,0.719361,563,0.007105,0.6048931214092095,0.6068644854184183,157.267499,2.6451746396755507,133.998578,146.740876
29,2022-08-25,0.782609,369,0.669691,551,0.025408,0.5162012253603722,0.5764597468765446,167.766111,2.2412154502407224,129.089905,146.088427
30,2022-08-26,0.807818,243,0.692308,351,0.0,0.3262263157170049,0.45219593177407086,152.274443,1.6220712756112332,124.282609,148.56044
31,2022-08-29,0.864307,290,0.771277,376,0.0,0.345189560804622,0.4697218954631694,164.164444,1.8274359093251642,137.576029,142.816879
32,2022-08-30,0.814126,425,0.732759,580,0.0,0.5590755439011817,0.5864396411891066,167.533889,2.590520655794005,125.683862,148.96956
33,2022-08-31,0.822,398,0.737037,540,0.003704,0.5183760997659212,0.5682687875258373,176.418612,2.284339477741725,129.199721,144.868516
34,2022-09-01,0.839323,387,0.742802,521,0.011516,0.5260197423022175,0.5717855960543444,164.318333,2.3977847925222076,130.172166,151.059418
35,2022-09-02,0.834008,200,0.711744,281,0.0,0.25218065933534756,0.40888243925180784,156.811666,1.3328090015955827,131.176471,135.037363
36,2022-09-06,0.827273,448,0.744186,602,0.013289,0.5262569918830368,0.570376467208856,180.608888,2.519255862978349,130.801768,145.962678
37,2022-09-07,0.811419,453,0.714511,634,0.004732,0.5867328415393239,0.6170222309263405,177.296944,2.5775965997473707,147.674359,158.639434
38,2022-09-08,0.766031,424,0.667717,635,0.011024,0.5475570963852302,0.6021779528980482,184.530556,2.3464948536761576,141.596291,159.711472
39,2022-09-09,0.865922,304,0.763819,398,0.0,0.3613365013599826,0.4959539992923155,164.649444,1.9131555646188518,124.072664,140.205521
40,2022-09-12,0.825607,364,0.7251,502,0.0,0.44531347051416,0.5548657914286593,171.514444,2.174743953343078,140.603499,161.983951
41,2022-09-13,0.783133,506,0.669312,756,0.013228,0.6565694111332104,0.6652381861933059,189.141388,2.728117867042405,149.939467,163.97446
42,2022-09-14,0.758242,466,0.580324,803,0.075965,0.6787997143987416,0.6664501011070257,182.713334,2.5778085796409362,154.828338,172.678075
43,2022-09-15,0.749245,478,0.624021,766,0.04047,0.609757708858236,0.6341744351982899,196.85333400000002,2.499322668317114,146.858793,171.715863
44,2022-09-16,0.787815,364,0.67658,538,0.0,0.4755929821764664,0.5787458047966589,171.116665,2.168111446071018,154.635155,169.059107
45,2022-09-19,0.789883,393,0.662732,593,0.001686,0.45151098585837623,0.5802792270621197,189.130277,2.130806375332491,146.542553,164.287107
