,date,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6,metric_7
0,2022-05-10,0.739583,125,0.097222,0.578704,216,3.5828709286997937,20.35461
1,2022-05-11,0.733945,142,0.108434,0.570281,249,4.222458762445911,15.93125
2,2022-05-12,0.726852,129,0.128405,0.501946,257,3.9772534725025883,26.22293
3,2022-05-13,0.768889,136,0.16129,0.487455,279,4.35026438070808,19.884393
4,2022-05-16,0.791667,120,0.12987,0.519481,231,3.341888273807044,23.266667
5,2022-05-17,0.751131,136,0.096386,0.546185,249,3.8632605520262024,27.156627
6,2022-05-18,0.762791,146,0.119522,0.581673,251,4.198079949069387,20.371951
7,2022-05-19,0.740196,122,0.191406,0.476563,256,3.391851096967846,21.533333
8,2022-05-20,0.777251,134,0.162791,0.51938,258,4.2592069187768695,27.453988
9,2022-05-23,0.733333,116,0.101322,0.511013,227,3.310685608400247,25.815603
10,2022-05-24,0.755365,151,0.16609,0.522491,289,4.401036794965701,23.451429
11,2022-05-25,0.760684,136,0.241379,0.426332,319,4.133124754641977,24.954286
12,2022-05-27,0.721951,124,0.064378,0.532189,233,4.1484042224826645,35.060811
13,2022-05-30,0.697674,125,0.090164,0.512295,244,3.380189692955163,16.722973
14,2022-05-31,0.74026,139,0.116364,0.505455,275,4.37708872242125,22.011765
15,2022-06-01,0.69084,143,0.174648,0.402817,355,4.147302550395439,25.143646
16,2022-06-02,0.660448,125,0.186246,0.358166,349,3.872002138268689,27.411429
17,2022-06-03,0.738739,122,0.205696,0.386076,316,3.7989854325482626,24.89697
18,2022-06-07,0.643411,137,0.104918,0.44918,305,4.09880213096792,21.048485
19,2022-06-08,0.699605,147,0.110345,0.506897,290,4.590845293543333,18.454545
20,2022-06-09,0.712446,134,0.118081,0.494465,271,3.8565849430267973,20.89697
21,2022-06-10,0.650602,131,0.10453,0.456446,287,3.823867852186206,20.447205
22,2022-06-13,0.675105,128,0.071161,0.479401,267,3.9841706341179655,28.383648
23,2022-06-14,0.738197,145,0.093284,0.541045,268,4.241976879838795,28.622093
24,2022-06-15,0.77459,142,0.123288,0.486301,292,4.441238531781143,27.931217
25,2022-06-17,0.729614,147,0.0625,0.574219,256,4.581840105112167,25.664706
26,2022-06-20,0.717054,157,0.173653,0.47006,334,4.566854350568806,35.434783
27,2022-06-21,0.690377,123,0.23676,0.383178,321,3.967972794792557,20.773006
28,2022-06-22,0.732283,159,0.154839,0.512903,310,4.2816074377636735,24.826087
29,2022-06-23,0.686347,153,0.158824,0.45,340,4.304543003370747,24.266304
30,2022-06-24,0.725632,155,0.203252,0.420054,369,4.647899180640663,26.19697
31,2022-06-27,0.734767,159,0.160819,0.464912,342,4.867627577671288,20.030151
32,2022-06-28,0.776256,123,0.308411,0.383178,321,3.7949593595731663,22.491018
33,2022-06-29,0.738095,150,0.189274,0.473186,317,4.493462378713756,20.629032
34,2022-06-30,0.724806,133,0.247934,0.366391,363,4.146538117198837,21.335135
35,2022-07-01,0.637037,115,0.305623,0.281174,409,4.800755396774111,29.202312
36,2022-07-04,0.671698,153,0.214689,0.432203,354,4.692886084625343,27.920455
37,2022-07-05,0.692884,147,0.200565,0.415254,354,4.724888872196845,30.097297
38,2022-07-06,0.719858,155,0.221053,0.407895,380,4.8380199994605935,21.075758
39,2022-07-07,0.707692,148,0.227778,0.411111,360,4.202769455016737,26.038462
40,2022-07-08,0.74359,162,0.276119,0.402985,402,5.241607481696463,51.231156
41,2022-07-11,0.720721,118,0.355978,0.320652,368,4.176964708519058,25.0
42,2022-07-12,0.75641,142,0.320225,0.398876,356,5.304275316288427,20.515152
43,2022-07-13,0.815166,114,0.335385,0.350769,325,3.0640924382548973,23.038217
44,2022-07-14,0.71777,155,0.180328,0.423497,366,4.523487339850741,27.863158
45,2022-07-15,0.76,137,0.35468,0.337438,406,4.735389529494087,29.223464
46,2022-07-18,0.73991,120,0.298193,0.361446,332,4.150505223138694,26.16129
47,2022-07-19,0.783333,87,0.447293,0.247863,351,3.594141547839193,33.179688
48,2022-07-20,0.739837,139,0.283286,0.393768,353,4.8538532607054945,25.606936
49,2022-07-21,0.790795,140,0.370558,0.35533,394,4.92292754214003,20.2
50,2022-07-22,0.719512,125,0.166667,0.400641,312,3.664033345149514,22.757396
51,2022-07-25,0.722467,117,0.195876,0.402062,291,4.319988400628067,22.311688
52,2022-07-26,0.731602,133,0.189831,0.450847,295,4.7462482510407655,21.35
53,2022-07-27,0.779221,145,0.309249,0.419075,346,4.937790660016154,20.547059
54,2022-07-28,0.718254,131,0.222222,0.393393,333,4.626164823810732,25.251572
55,2022-07-29,0.794872,141,0.335165,0.387363,364,5.429686221000693,24.921788
56,2022-08-01,0.708333,123,0.170909,0.447273,275,4.472085765541127,20.298013
57,2022-08-02,0.678414,128,0.055556,0.507937,252,3.96675327609913,23.241611
58,2022-08-03,0.714286,150,0.139456,0.510204,294,4.667786360855297,23.467456
59,2022-08-04,0.715517,149,0.079245,0.562264,265,4.534498956438155,20.968944
