,date,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6,metric_7,metric_8,metric_9,metric_10
0,2022-07-15,0.795367,350,0.635209,551,0.059891,0.49529517261292794,0.6164981336867112,2.9811830566108295,53.774286,59.958333
1,2022-07-18,0.776062,358,0.654479,547,0.053016,0.5279613360093864,0.6457901478788627,3.050327564949674,53.592179,54.2625
2,2022-07-19,0.776316,368,0.655971,561,0.051693,0.5297188225484857,0.6536541901903551,3.1192755598467934,54.80163,58.314634
3,2022-07-20,0.78835,354,0.644809,549,0.061931,0.497565085317116,0.6098923808982603,3.0244203450325626,51.59322,58.825123
4,2022-07-21,0.776316,343,0.61032,562,0.053381,0.4834594036154012,0.5842050167342004,2.952986106967024,52.539359,60.409756
5,2022-07-22,0.831395,373,0.669659,557,0.073609,0.5246461700239194,0.6355821368393075,3.1946403894463304,58.965147,57.775701
6,2022-07-25,0.800403,352,0.654275,538,0.078067,0.44945115283942577,0.6030237768955109,2.999133774335618,51.872159,57.365239
7,2022-07-26,0.799205,365,0.683521,534,0.058052,0.49459771546858505,0.6034918739802799,3.147938747560809,53.813699,58.987562
8,2022-07-27,0.793173,350,0.670498,522,0.045977,0.4732221079496082,0.6159049815045631,2.999657182893277,57.257143,57.788265
9,2022-07-28,0.831858,316,0.658333,480,0.058333,0.4314891157404854,0.5672076306108584,2.717123898993085,54.971519,59.24734
10,2022-07-29,0.810021,329,0.654076,503,0.047714,0.45600437743196937,0.5618334328895757,2.8803501951130097,56.525836,62.077519
11,2022-08-01,0.788546,318,0.665272,478,0.048117,0.4511479652974849,0.5825949843140239,2.7436130946898616,61.09434,61.098039
12,2022-08-02,0.832599,338,0.686992,492,0.077236,0.5019333780115913,0.624087539540264,2.9333346187549,54.035503,62.812834
13,2022-08-03,0.811816,309,0.618,500,0.086,0.4732605833564376,0.6217352372701158,2.7272660394933075,53.148867,60.915301
14,2022-08-04,0.808463,325,0.700431,464,0.032328,0.41039743696629183,0.5424298127569033,2.7869418667200425,54.049231,59.65651
15,2022-08-05,0.789047,335,0.639313,524,0.05916,0.44376674497919233,0.586061467803269,2.882347176768876,54.077612,64.257732
16,2022-08-08,0.79798,334,0.648544,515,0.044402,0.4747190060671798,0.6008558149892377,2.9063836990071255,51.284431,59.971939
17,2022-08-09,0.810277,353,0.674952,523,0.039848,0.473958007798415,0.5953812277892333,3.054939876912486,56.447592,63.63591
18,2022-08-10,0.805147,365,0.636998,573,0.063574,0.507060232684697,0.6273061048864613,3.135230059284151,52.926027,59.495327
19,2022-08-11,0.806331,360,0.647482,556,0.049558,0.5437964336112399,0.6107930692894797,3.1049576296705435,56.922222,59.536817
20,2022-08-12,0.812766,336,0.684318,491,0.054326,0.4455611430036232,0.5860799686378714,2.8705613204447378,54.889881,61.649733
21,2022-08-15,0.790196,337,0.613843,549,0.085868,0.5089475360451782,0.6344129358915203,2.905165456840117,57.115727,62.348601
22,2022-08-16,0.795699,359,0.597338,601,0.082237,0.5423261316823134,0.6485454863711471,3.0704025918207623,51.662953,58.903448
23,2022-08-17,0.78634,377,0.624172,604,0.068404,0.5133321539903771,0.6208300719569383,3.24446824364383,55.838196,61.842466
24,2022-08-18,0.792523,360,0.633803,568,0.07279,0.5056152355548135,0.6046905096773849,3.2879572053198576,56.736111,62.770531
25,2022-08-19,0.781421,342,0.585616,584,0.077311,0.5251358517312339,0.6531070232910298,3.213188775607213,53.991228,65.646489
